CODPAR,PROVINCIA,CANTON,PARROQUIA,tipo_infraestructura
5710,SUCUMBIOS,LAGO AGRIO,NUEVA LOJA,Pozo
5710,SUCUMBIOS,LAGO AGRIO,NUEVA LOJA,Pozo
3645,SUCUMBIOS,SHUSHUFINDI,SAN ROQUE,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN,Pozo
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN,Pozo
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN,Pozo
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN,Pozo
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
6200,ORELLANA,JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
0415,ORELLANA,JOYA DE LOS SACHAS,SAN CARLOS,Pozo
6200,ORELLANA,JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
0415,ORELLANA,JOYA DE LOS SACHAS,SAN CARLOS,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
0415,ORELLANA,JOYA DE LOS SACHAS,SAN CARLOS,Pozo
1555,SUCUMBIOS,CUYABENO,AGUAS NEGRAS,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0820,SANTA ELENA,SANTA ELENA,CHANDUY,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
0630,ORELLANA,AGUARICO,CONONACO,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
6270,SANTA ELENA,SALINAS,GRAL. A. E. GALLO,Pozo
6040,SANTA ELENA,SANTA ELENA,SANTA ELENA,Pozo
0605,SANTA ELENA,SANTA ELENA,COLONCHE,Pozo
1850,SANTA ELENA,SALINAS,JOSE LUIS TAMAYO / MUEY,Pozo
1850,SANTA ELENA,SALINAS,JOSE LUIS TAMAYO / MUEY,Pozo
0115,SANTA ELENA,SALINAS,ANCONCITO,Pozo
6325,SUCUMBIOS,CASCALES,EL DORADO DE CASCALES,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
4745,SUCUMBIOS,PUTUMAYO,SANSAHUARI,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
1290,SUCUMBIOS,LAGO AGRIO,PACAYACU,Pozo
2765,SUCUMBIOS,SHUSHUFINDI,PANACOCHA,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1245,ORELLANA,FCO.DE ORELLANA,TARACOA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO,Pozo
1245,ORELLANA,FCO.DE ORELLANA,TARACOA,Pozo
6765,SUCUMBIOS,CUYABENO,TARAPOA,Pozo
3705,SUCUMBIOS,PUTUMAYO,SANTA ELENA,Pozo
3705,SUCUMBIOS,PUTUMAYO,SANTA ELENA,Pozo
