codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
2220,LUIS CORDERO,AZOGUES,CAÑAR,-78.8109571072256,-2.7508110782450528,16.08
2885,PINDILIG,AZOGUES,CAÑAR,-78.71911232580091,-2.603727835805548,115.68
3210,RIVERA,AZOGUES,CAÑAR,-78.6069485748342,-2.489630292813357,542.56
3575,SAN MIGUEL,AZOGUES,CAÑAR,-78.8411550387651,-2.80002930308198,26.77
3945,TADAY,AZOGUES,CAÑAR,-78.70651935308582,-2.658122504891298,60.84
2545,NAZON,BIBLIAN,CAÑAR,-78.9801866358787,-2.689706458623763,50.76
3410,SAN FCO. DE SAGEO,BIBLIAN,CAÑAR,-78.87642899732275,-2.7100137453076227,3.75
4100,TURUPAMBA,BIBLIAN,CAÑAR,-78.90960682174038,-2.7281981742816592,5.71
1085,JERUSALEN,BIBLIAN,CAÑAR,-78.96950890581029,-2.653861814695268,60.86
0935,CHONTAMARCA,CAÑAR,CAÑAR,-79.15403952354848,-2.3922595549385806,217.79
0950,CHOROCOPTE,CAÑAR,CAÑAR,-78.96705328521152,-2.59517602093235,34.25
1335,GRAL. MORALES / SOCARTE,CAÑAR,CAÑAR,-79.04941337184663,-2.3675959579957166,114.15
1410,GUALLETURO,CAÑAR,CAÑAR,-79.09542245601168,-2.5808194944269447,291.21
1605,HONORATO VASQUEZ,CAÑAR,CAÑAR,-78.89465597389773,-2.5986201075569553,77.14
1725,INGAPIRCA,CAÑAR,CAÑAR,-78.80332952067837,-2.4752316675020523,414.27
1900,JUNCAL,CAÑAR,CAÑAR,-78.92458737056715,-2.4493506657912234,63.75
3305,SAN ANTONIO,CAÑAR,CAÑAR,-79.23325642771702,-2.598004044575785,412.8
4345,ZHUD,CAÑAR,CAÑAR,-78.98619646318335,-2.449755386859097,83.9
1775,VENTURA,CAÑAR,CAÑAR,-79.12998414604861,-2.282414125615855,68.04
1895,DUCUR,CAÑAR,CAÑAR,-79.18631013229931,-2.469488674110196,100.15
2365,MANUEL J. CALLE,LA TRONCAL,CAÑAR,-79.39255616351917,-2.388995422248124,60.64
2745,PANCHO NEGRO,LA TRONCAL,CAÑAR,-79.4141481679364,-2.4722570782567996,150.15
3875,SOLANO,DELEG,CAÑAR,-78.9312635475412,-2.811507716801049,16.89
0035,ALAQUEZ,LATACUNGA,COTOPAXI,-78.49865021511098,-0.8505016487226249,144.18
0315,BELISARIO QUEVEDO,LATACUNGA,COTOPAXI,-78.56924756457684,-0.977800935511937,37.93
1485,GUAYTACAMA,LATACUNGA,COTOPAXI,-78.64026088348264,-0.8298726170177007,26.66
1905,JOSEGUANGO BAJO,LATACUNGA,COTOPAXI,-78.60260921084988,-0.8226154118380968,18.41
2480,MULALO,LATACUNGA,COTOPAXI,-78.49415942695333,-0.720424336117327,509.42
2620,11 DE NOVIEMBRE,LATACUNGA,COTOPAXI,-78.66856648358055,-0.9178044403265113,10.41
2920,POALO,LATACUNGA,COTOPAXI,-78.73286781466976,-0.8866086265997234,76.12
3530,SAN JUAN DE PASTOCALLE,LATACUNGA,COTOPAXI,-78.63626083591548,-0.6808854867631567,139.67
3965,TANICUCHI,LATACUNGA,COTOPAXI,-78.64583085961884,-0.7644534199864759,53.31
4035,TOACAZO,LATACUNGA,COTOPAXI,-78.75408961470181,-0.722390642355732,213.06
1500,GUASAGANDA,LA MANA,COTOPAXI,-79.10384757023986,-0.7889045602580091,248.29
2965,PUCAYACO,LA MANA,COTOPAXI,-79.08098712771105,-0.6648404429007118,181.43
2460,MORASPUNGO,PANGUA,COTOPAXI,-79.23009798162882,-1.086920191820233,406.24
2890,PINLLOPATA,PANGUA,COTOPAXI,-79.00085273918624,-1.14734391015494,32.52
3155,RAMON CAMPAÑA,PANGUA,COTOPAXI,-79.0909641838045,-1.073536092194283,118.22
0125,ANGAMARCA,PUJILI,COTOPAXI,-78.90430211982714,-1.1180102267550844,282.09
1430,GUANGAJE,PUJILI,COTOPAXI,-78.84005417211823,-0.9004995050200459,125.93
