codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
3510,LOS RIOS,PUEBLO VIEJO,SAN JUAN
3185,MANABI,PORTOVIEJO,RIO CHICO
1600,MANABI,FLAVIO ALFARO,NOVILLO
1570,MANABI,24 DE MAYO,ARQ. SIXTO DURAN BALLEN
1030,MANABI,PEDERNALES,10 DE AGOSTO
1345,MORONA SANTIAGO,MORONA,GRAL. PROAÑO
4360,MORONA SANTIAGO,MORONA,ZUNAC
1205,MORONA SANTIAGO,TAISHA,TUTINENTZA
475,PASTAZA,PASTAZA,CANELOS
1025,PASTAZA,PASTAZA,10 DE AGOSTO
1260,PASTAZA,PASTAZA,FATIMA
2450,PASTAZA,PASTAZA,MONTALVO / ANDOAS
3055,PASTAZA,PASTAZA,POMONA
3180,PASTAZA,PASTAZA,RIO CORRIENTES
3195,PASTAZA,PASTAZA,RIO TIGRE
3785,PASTAZA,PASTAZA,ZARAYACU
4510,PASTAZA,PASTAZA,SIMON BOLIVAR
3985,PASTAZA,PASTAZA,TARQUI
4005,PASTAZA,PASTAZA,TNTE. HUGO ORTIZ
4205,PASTAZA,PASTAZA,VERACRUZ
1275,PASTAZA,PASTAZA,EL TRIUNFO
2830,TUNGURAHUA,AMBATO,PICAYHUA
2860,TUNGURAHUA,AMBATO,PILAHUIN
335,TUNGURAHUA,PELILEO,BENITEZ / PACHANLICA
365,TUNGURAHUA,PELILEO,BOLIVAR
675,TUNGURAHUA,PELILEO,COTALO
900,TUNGURAHUA,PELILEO,CHIQUICHA
1185,TUNGURAHUA,PELILEO,EL ROSARIO / RUMICHACA
1320,TUNGURAHUA,PELILEO,GARCIA MORENO
1630,TUNGURAHUA,PELILEO,HUAMBALO
3905,TUNGURAHUA,PELILEO,SALASACA
295,TUNGURAHUA,PILLARO,BAQUERIZO MORENO
1210,TUNGURAHUA,PILLARO,EMILIO MARIA TERAN
2375,TUNGURAHUA,PILLARO,MARCOS ESPINEL
2945,TUNGURAHUA,PILLARO,PRESIDENTE URBINA
3300,TUNGURAHUA,PILLARO,SAN ANDRES
3485,TUNGURAHUA,PILLARO,SAN JOSE DE POALO
3585,TUNGURAHUA,PILLARO,SAN MIGUELITO
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA
1245,ORELLANA,FCO.DE ORELLANA,TARACOA
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA
1560,ORELLANA,FCO.DE ORELLANA,EL DORADO
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN
1810,ORELLANA,FCO.DE ORELLANA,GARCIA MORENO
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO
1820,ORELLANA,FCO.DE ORELLANA,LA BELLEZA
1940,ORELLANA,FCO.DE ORELLANA,NUEVO PARAISO
1945,ORELLANA,FCO.DE ORELLANA,SAN JOSE DE GUAYUSA
1935,ORELLANA,FCO.DE ORELLANA,SAN LUIS DE ARMENIA
510,ORELLANA,AGUARICO,CAP. AUGUSTO RIVADENEIRA
3720,ORELLANA,AGUARICO,STA. MARIA DE HUIRRIMA
0,ISLA,ISLA,ISLA
275,BOLIVAR,SAN MIGUEL,BALZAPAMBA
6630,BOLIVAR,GUARANDA,GUANUJO
5035,BOLIVAR,GUARANDA,ANGEL POLIVIO CHAVEZ
5375,BOLIVAR,GUARANDA,GABRIEL I VEINTIMILLA
5245,BOLIVAR,CHILLANES,CHILLANES
5350,BOLIVAR,ECHEANDIA,ECHEANDIA
6340,BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/
6475,BOLIVAR,LAS NAVES,LAS MERCEDES
6470,BOLIVAR,LAS NAVES,LAS NAVES
6425,CAÑAR,DELEG,DELEG
6845,CAÑAR,AZOGUES,AURELIO BAYAS MARTINEZ
5115,CAÑAR,BIBLIAN,BIBLIAN
5160,CAÑAR,CAÑAR,CAÑAR
5610,CAÑAR,LA TRONCAL,LA TRONCAL
6345,CAÑAR,EL TAMBO,EL TAMBO
6715,CAÑAR,SUSCAL,SUSCAL
5065,CAÑAR,AZOGUES,AZOGUES
6790,CAÑAR,AZOGUES,BORRERO
5010,CHIMBORAZO,ALAUSI,ALAUSI
5475,CHIMBORAZO,CHAMBO,CHAMBO
5255,CHIMBORAZO,CHUNCHI,CHUNCHI
5430,CHIMBORAZO,GUAMOTE,GUAMOTE
6540,CHIMBORAZO,PALLATANGA,PALLATANGA
5740,CHIMBORAZO,PENIPE,PENIPE
6420,CHIMBORAZO,CUMANDA,CUMANDA
5145,CHIMBORAZO,COLTA,CAJABAMBA
6080,CHIMBORAZO,COLTA,SICALPA
5550,CHIMBORAZO,GUANO,LA MATRIZ
5500,COTOPAXI,LATACUNGA,JUAN MONTALVO
5555,COTOPAXI,LATACUNGA,LA MATRIZ
5310,COTOPAXI,LATACUNGA,ELOY ALFARO / SAN FELIPE
5465,COTOPAXI,LATACUNGA,IGNACIO FLORES
6880,COTOPAXI,LA MANA,EL CARMEN
6535,COTOPAXI,LA MANA,LA MANA
6895,COTOPAXI,LA MANA,EL TRIUNFO
5820,COTOPAXI,PUJILI,PUJILI
6070,COTOPAXI,SAQUISILI,SAQUISILI
6450,COTOPAXI,SIGCHOS,SIGCHOS
5045,TUNGURAHUA,AMBATO,ATOCHA FICOA
5605,TUNGURAHUA,AMBATO,LA PENINSULA
5560,TUNGURAHUA,AMBATO,LA MERCED
5545,TUNGURAHUA,AMBATO,LA MATRIZ
5230,TUNGURAHUA,AMBATO,CELIANO MONGE
5840,TUNGURAHUA,AMBATO,PISHILATA
6555,TUNGURAHUA,CEVALLOS,CEVALLOS
6560,TUNGURAHUA,MOCHA,MOCHA
5830,TUNGURAHUA,PATATE,PATATE
5835,TUNGURAHUA,QUERO,QUERO
5900,TUNGURAHUA,PELILEO,PELILEO GRANDE /R. MINO
5780,TUNGURAHUA,PELILEO,PELILEO
5785,TUNGURAHUA,PILLARO,PILLARO
5225,TUNGURAHUA,PILLARO,CIUDAD NUEVA
5515,TUNGURAHUA,TISALEO,TISALEO
5665,MANABI,MONTECRISTI,MONTECRISTI
5755,MANABI,PAJAN,PAJAN
6550,MANABI,PICHINCHA,PICHINCHA /GERMUD
5885,MANABI,ROCAFUERTE,ROCAFUERTE
