codigo_dpa,nombre_provincia,nombre_canton,nombre_parroquia
485,LOJA,PALTAS,CANGONAMA
1380,LOJA,PALTAS,GUACHANAMA
1155,LOJA,PUYANGO,EL LIMO / MARIANA DE JESUS
2360,LOJA,SARAGURO,MANU
3665,LOJA,SARAGURO,SAN SEBASTIAN DE YULOG
4145,LOJA,SARAGURO,URDANETA / PAQUISHAPA
2575,LOJA,SOZORANGA,NUEVA FATIMA
520,LOS RIOS,BABAHOYO,CARACOL
1265,LOS RIOS,BABAHOYO,FEBRES CORDERO
2875,LOS RIOS,BABAHOYO,PIMOCHA
1525,LOS RIOS,BABAHOYO,LA UNION
1460,LOS RIOS,BABA,GUARE
1740,LOS RIOS,BABA,ISLA DE BEJUCAL
4615,LOS RIOS,MONTALVO,LA ESMERALDA
3015,LOS RIOS,PUEBLO VIEJO,PUERTO PECHICHE
3510,LOS RIOS,PUEBLO VIEJO,SAN JUAN
4425,LOS RIOS,QUEVEDO,SAN CARLOS
4420,LOS RIOS,QUEVEDO,LA ESPERANZA
3175,LOS RIOS,URDANETA,RICAURTE
4330,LOS RIOS,VENTANAS,ZAPOTAL
4590,LOS RIOS,VENTANAS,CHACARITA
4585,LOS RIOS,VENTANAS,LOS ANGELES
140,LOS RIOS,VINCES,ANTONIO SOTOMAYOR
150,LOS RIOS,BUENA FE,PATRICIA PILAR
10,MANABI,PORTOVIEJO,ABDON CALDERON
50,MANABI,PORTOVIEJO,ALHAJUELA / BAJO GRANDE
770,MANABI,PORTOVIEJO,CRUCITA
2970,MANABI,PORTOVIEJO,PUEBLO NUEVO
3185,MANABI,PORTOVIEJO,RIO CHICO
3625,MANABI,PORTOVIEJO,SAN PLACIDO
1925,MANABI,PORTOVIEJO,CHIRIJOS
240,MANABI,BOLIVAR,MEMBRILLO
3170,MANABI,CHONE,RICAURTE
3350,MANABI,CHONE,SAN ANTONIO / DEL PELUDO
1070,MANABI,EL CARMEN,WILFRIDO LOOR MOREIRA
1980,MANABI,EL CARMEN,SAN PEDRO DE SUMA
3632,MANABI,EL CARMEN,SANTA MARIA
3635,MANABI,EL CARMEN,EL PARAISO / LA 14
1600,MANABI,FLAVIO ALFARO,NOVILLO
1620,MANABI,FLAVIO ALFARO,ZAPALLO
105,MANABI,JIPIJAPA,AMERICA / LA CERA
1115,MANABI,JIPIJAPA,EL ANEGADO
1880,MANABI,JIPIJAPA,JULCUY
560,MANABI,JIPIJAPA,LA UNION
4490,MANABI,JIPIJAPA,MEMBRILLAL
2810,MANABI,JIPIJAPA,PEDRO PABLO GOMEZ
2990,MANABI,JIPIJAPA,PUERTO CAYO
3550,MANABI,MANTA,SAN LORENZO
1800,MANABI,MANTA,SANTA MARIANITA
1545,MANABI,MONTECRISTI,LA PILA
460,MANABI,PAJAN,CAMPOZANO
540,MANABI,PAJAN,CASCOL
1395,MANABI,PAJAN,GUALE / STO. DOMINGO
2090,MANABI,PAJAN,LASCANO
1065,MANABI,PICHINCHA,BARRAGANETE
1060,MANABI,PICHINCHA,SAN SEBASTIAN
220,MANABI,SANTA ANA,AYACUCHO
1610,MANABI,SANTA ANA,HONORATO VASQUEZ
2135,MANABI,SANTA ANA,LA UNION
1105,MANABI,SANTA ANA,SAN PABLO
840,MANABI,SUCRE,CHARAPOTO
3445,MANABI,SUCRE,SAN ISIDRO
265,MANABI,TOSAGUA,BACHILLERO
2030,MANABI,TOSAGUA,ANGEL PEDRO GILER
330,MANABI,24 DE MAYO,BELLAVISTA
2555,MANABI,24 DE MAYO,NOBOA
1570,MANABI,24 DE MAYO,ARQ. SIXTO DURAN BALLEN
580,MANABI,PEDERNALES,COJIMIES
1030,MANABI,PEDERNALES,10 DE AGOSTO
785,MANABI,PEDERNALES,ATAHUALPA
2305,MANABI,PUERTO LOPEZ,MACHALILLA
1920,MANABI,PUERTO LOPEZ,SALANGO
470,MANABI,SAN VICENTE,CANOA
65,MORONA SANTIAGO,MORONA,ALSHI / 9 DE OCTUBRE
1345,MORONA SANTIAGO,MORONA,GRAL. PROAÑO
4485,MORONA SANTIAGO,MORONA,SINAI
4360,MORONA SANTIAGO,MORONA,ZUNAC
1730,MORONA SANTIAGO,MORONA,RIO BLANCO
350,MORONA SANTIAGO,GUALAQUIZA,BOMBOIZA
880,MORONA SANTIAGO,GUALAQUIZA,CHIGUINDA
3225,MORONA SANTIAGO,GUALAQUIZA,ROSARIO
1720,MORONA SANTIAGO,LIMON INDANZA,INDANZA
3320,MORONA SANTIAGO,LIMON INDANZA,SAN ANTONIO
4305,MORONA SANTIAGO,LIMON INDANZA,YUNGANZA 7 EL ROSARIO
715,MORONA SANTIAGO,PALORA,CUMANDA
3565,MORONA SANTIAGO,SANTIAGO,SAN LUIS DEL ACHO
1365,MORONA SANTIAGO,SANTIAGO,SAN FCO. DE CHINIMBIMI
180,MORONA SANTIAGO,SUCUA,ASUNCION
1635,MORONA SANTIAGO,SUCUA,HUAMBI
1140,MORONA SANTIAGO,SUCUA,SANTA MARIANITA DE JESUS
1205,MORONA SANTIAGO,TAISHA,TUTINENTZA
1295,MORONA SANTIAGO,TIWINTZA,SAN JOSE DE MORONA
475,PASTAZA,PASTAZA,CANELOS
1025,PASTAZA,PASTAZA,10 DE AGOSTO
1260,PASTAZA,PASTAZA,FATIMA
2450,PASTAZA,PASTAZA,MONTALVO / ANDOAS
3055,PASTAZA,PASTAZA,POMONA
3180,PASTAZA,PASTAZA,RIO CORRIENTES
3195,PASTAZA,PASTAZA,RIO TIGRE
3785,PASTAZA,PASTAZA,ZARAYACU
4510,PASTAZA,PASTAZA,SIMON BOLIVAR
3985,PASTAZA,PASTAZA,TARQUI
4005,PASTAZA,PASTAZA,TNTE. HUGO ORTIZ
4205,PASTAZA,PASTAZA,VERACRUZ
1275,PASTAZA,PASTAZA,EL TRIUNFO
2100,PASTAZA,SANTA CLARA,SAN JOSE
190,TUNGURAHUA,AMBATO,ATAHUALPA / CHIPZALATA
210,TUNGURAHUA,AMBATO,AUGUSTO N MARTINEZ
635,TUNGURAHUA,AMBATO,CONSTANTINO FERNANDEZ
2830,TUNGURAHUA,AMBATO,PICAYHUA
2860,TUNGURAHUA,AMBATO,PILAHUIN
3355,TUNGURAHUA,AMBATO,SAN BARTOLOME
2270,TUNGURAHUA,BAÑOS,LLIGUA
3190,TUNGURAHUA,BAÑOS,RIO NEGRO
3200,TUNGURAHUA,BAÑOS,RIO VERDE
4135,TUNGURAHUA,BAÑOS,ULBA
4555,TUNGURAHUA,MOCHA,PINGUILI
335,TUNGURAHUA,PELILEO,BENITEZ / PACHANLICA
365,TUNGURAHUA,PELILEO,BOLIVAR
675,TUNGURAHUA,PELILEO,COTALO
900,TUNGURAHUA,PELILEO,CHIQUICHA
1185,TUNGURAHUA,PELILEO,EL ROSARIO / RUMICHACA
1320,TUNGURAHUA,PELILEO,GARCIA MORENO
1630,TUNGURAHUA,PELILEO,HUAMBALO
3905,TUNGURAHUA,PELILEO,SALASACA
295,TUNGURAHUA,PILLARO,BAQUERIZO MORENO
1210,TUNGURAHUA,PILLARO,EMILIO MARIA TERAN
2375,TUNGURAHUA,PILLARO,MARCOS ESPINEL
2945,TUNGURAHUA,PILLARO,PRESIDENTE URBINA
3300,TUNGURAHUA,PILLARO,SAN ANDRES
3485,TUNGURAHUA,PILLARO,SAN JOSE DE POALO
3585,TUNGURAHUA,PILLARO,SAN MIGUELITO
1235,ORELLANA,FCO.DE ORELLANA,DAYUMA
1245,ORELLANA,FCO.DE ORELLANA,TARACOA
1995,ORELLANA,FCO.DE ORELLANA,ALEJANDRO LABAKA
1560,ORELLANA,FCO.DE ORELLANA,EL DORADO
1590,ORELLANA,FCO.DE ORELLANA,EL EDEN
1810,ORELLANA,FCO.DE ORELLANA,GARCIA MORENO
1565,ORELLANA,FCO.DE ORELLANA,INES ARANGO
1820,ORELLANA,FCO.DE ORELLANA,LA BELLEZA
1940,ORELLANA,FCO.DE ORELLANA,NUEVO PARAISO
1945,ORELLANA,FCO.DE ORELLANA,SAN JOSE DE GUAYUSA
1935,ORELLANA,FCO.DE ORELLANA,SAN LUIS DE ARMENIA
510,ORELLANA,AGUARICO,CAP. AUGUSTO RIVADENEIRA
3720,ORELLANA,AGUARICO,STA. MARIA DE HUIRRIMA
4295,ORELLANA,AGUARICO,YASUNI
490,ORELLANA,JOYA DE LOS SACHAS,ENOKANQUI
2930,ORELLANA,JOYA DE LOS SACHAS,POMPEYA
415,ORELLANA,JOYA DE LOS SACHAS,SAN CARLOS
3660,ORELLANA,JOYA DE LOS SACHAS,SAN SEBASTIAN DE COCA
1960,ORELLANA,JOYA DE LOS SACHAS,LAGO SAN PEDRO
1950,ORELLANA,JOYA DE LOS SACHAS,RUMIPAMBA
1955,ORELLANA,JOYA DE LOS SACHAS,TRES DE NOVIEMBRE
1965,ORELLANA,JOYA DE LOS SACHAS,UNION MILAGREÑA
215,ORELLANA,LORETO,AVILA
3480,ORELLANA,LORETO,SAN JOSE DE PAYAMINO
1680,ORELLANA,LORETO,SAN JOSE DE DAHUANO
75,STO DGO TSACHILAS,SANTO DOMINGO,ALLURIQUIN
4440,STO DGO TSACHILAS,SANTO DOMINGO,PUERTO LIMON
